id,name,main_artist,artists,n_artists,year,decade,primary_genre,explicit,key,mode,popularity,popularity_pct_in_year,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,valence_norm,acousticness_norm,danceability_norm,energy_norm,instrumentalness_norm,liveness_norm,loudness_norm,speechiness_norm,tempo_norm,duration_ms_norm,popularity_norm
2smPzeSoTcnE9g2jpPvNCm,"Étude in C-Sharp Minor, Op. 10, No. 4",Frédéric Chopin,"['Frédéric Chopin', 'Vladimir Horowitz']",2,1928,1920,classical,0,1,0,7,0.9214908802537668,0.517,0.987,0.221,0.251,0.913,0.24,-20.458,0.0302,170.12400000000005,121240,0.517,0.9909638554216867,0.2236842105263158,0.251,0.913,0.24,0.6192467308746379,0.031134020618556704,0.698641106826498,0.02151233182029019,0.07
5oDKOeVSn0etUbl9bA39kf,Marianito - Instrumental (Remasterizado),Francisco Canaro,['Francisco Canaro'],1,1929,1920,tango,0,2,1,0,0.4726890756302521,0.591,0.994,0.8170000000000001,0.115,0.484,0.0972,-13.704,0.155,122.748,190000,0.591,0.9979919678714859,0.826923076923077,0.115,0.484,0.0972,0.7250176180408738,0.1597938144329897,0.5040840715051312,0.034249457986748645,0.0
6W7iUeL4W0WVIF1BEOCswF,El Espejito - Remasterizado,Francisco Canaro,"['Francisco Canaro', 'Charlo']",2,1928,1920,tango,0,11,1,0,0.40087232355273594,0.782,0.988,0.6990000000000001,0.221,0.0725,0.142,-12.228,0.115,117.899,166000,0.782,0.9919678714859438,0.7074898785425102,0.221,0.0725,0.142,0.7481324876673714,0.11855670103092784,0.4841708862578899,0.029803689691300667,0.0
2fRfDHRDDSoFLnqHngDSeU,Langosta - Remasterizado,Francisco Canaro,['Francisco Canaro'],1,1925,1920,tango,0,7,1,0,0.26798561151079137,0.805,0.996,0.828,0.158,0.916,0.116,-12.071,0.132,115.943,163147,0.805,1.0,0.8380566801619432,0.158,0.916,0.116,0.7505911831493227,0.13608247422680414,0.47613826296574635,0.02927519898517929,0.0
1QXEKqhje8QucDzcGRVl4r,Часть 58.3 - Фиеста,Эрнест Хемингуэй,['Эрнест Хемингуэй'],1,1926,1920,unknown,1,2,1,0,0.28265602322206096,0.371,0.0982,0.624,0.302,0.0,0.376,-18.324,0.957,174.28400000000005,102300,0.371,0.09859437751004016,0.631578947368421,0.302,0.0,0.376,0.6526661968522435,0.9865979381443298,0.71572480462574,0.01800387967379916,0.0
2x0feppc75bYNf1Ydl315W,Malandrin - Remasterizado,Francisco Canaro,"['Francisco Canaro', 'Charlo']",2,1928,1920,tango,0,5,1,0,0.40087232355273594,0.789,0.995,0.7879999999999999,0.158,0.173,0.279,-11.99,0.0665,112.877,191720,0.789,0.998995983935743,0.7975708502024291,0.158,0.173,0.279,0.7518596820922402,0.06855670103092784,0.4635472491550551,0.034568071381255755,0.0
0oBftCwkss2MDilOow56oy,Oh París - Remasterizado,Francisco Canaro,['Francisco Canaro'],1,1924,1920,tango,0,2,1,0,0.4088983050847458,0.893,0.996,0.588,0.316,0.966,0.228,-14.435,0.0668,172.762,162827,0.893,1.0,0.5951417004048583,0.316,0.966,0.228,0.7135698065930625,0.0688659793814433,0.709474470959767,0.029215922074573318,0.0
2eoJ7MhQpPRP5mQRgbhfDs,Besos - Instrumental (Remasterizado),Francisco Canaro,['Francisco Canaro'],1,1927,1920,tango,0,2,1,0,0.43577235772357725,0.768,0.995,0.615,0.0516,0.925,0.109,-30.398000000000003,0.0425,114.851,177800,0.768,0.998995983935743,0.6224696356275303,0.0516,0.925,0.109,0.4635815519536449,0.043814432989690726,0.47165379229344534,0.03198952576989592,0.0
107JTiqeqxj5P0ocypagMK,Eşin Var âşiyâ Var,Mehmet Kemiksiz,['Mehmet Kemiksiz'],1,1921,1920,ilahiler,0,9,1,1,0.77,0.47,0.7659999999999999,0.453,0.5589999999999999,0.0104,0.213,-8.072000000000001,0.0329,156.077,337607,0.47,0.7690763052208834,0.458502024291498,0.5589999999999999,0.0104,0.213,0.8132174457755853,0.03391752577319588,0.6409548801471826,0.061592229686173214,0.01
6ht487v7RBVw7W4RBrensd,Wake Up Jacob - 2020 Remaster,Prince Albert Hunt's Texas Ramblers,"[""Prince Albert Hunt's Texas Ramblers""]",1,1929,1920,string band,0,2,1,6,0.9816176470588235,0.8,0.975,0.473,0.366,0.085,0.37,-10.968,0.035,131.434,175491,0.8,0.9789156626506024,0.47874493927125505,0.366,0.085,0.37,0.7678646934460888,0.03608247422680413,0.5397545039772984,0.0315618058118047,0.06
